keys,en,zh

MOVES,Moves,移动数
PUSHES,Pushes,推动数

GAMEPLAY,Gameplay,玩法
GENERAL,General,通用
LANGUAGE,Language,语言
LANGUAGE_TIP,Select the interface language,选择界面语言
CHECKERBOARD,Checkerboard,棋盘格
CHECKERBOARD_TIP,Toggle to color floor tiles in a checkerboard pattern,以棋盘格样式给地砖上色
DEADLOCK,Deadlocks,死锁
DEADLOCK_TIP,Show static deadlock locations,显示静态死锁位置
SOLVER,Solver,求解器
STRATEGY,Strategy,策略
STRATEGY_TIP,Choose solver strategy,选择解算器策略
FAST,Fast,快速
OPTIMAL_PUSH,Optimal Push,最优推动
OPTIMAL_MOVE,Optimal Move,最优移动
HEATMAP,Heatmap,热力图
HEATMAP_TIP,Visualize push lower bounds as a heatmap,将推动下界以热力图的形式可视化

AUDIO,Audio,音频
VOLUME,Volume,音量
MASTER_VOLUME,Master Volume,主音量
MASTER_VOLUME_TIP,Master volume controls overall audio level,主音量控制整体音量
MUSIC_VOLUME,Music Volume,音乐音量
MUSIC_VOLUME_TIP,Adjust music volume separately from sound effects,单独调整音乐音量
SFX_VOLUME,SFX Volume,音效音量
SFX_VOLUME_TIP,Adjust sound effects volume separately from music,单独调整音效音量
OUTPUT,Output,输出设备
MUTE_WHEN_NOT_FOCUSED,Mute When Not Focused,失去焦点时静音
MUTE_WHEN_NOT_FOCUSED_TIP,Mute audio when the game window is not focused,在游戏窗口不在焦点时静音

VIDEO,Video,视频
DISPLAY,Display,显示
WINDOW_MODE,Window Mode,窗口模式
WINDOW_MODE_TIP,"Choose window mode\n• Windowed.\n• Borderless fullscreen.\n• Exclusive fullscreen.","选择窗口模式\n• 窗口化.\n• 无边框全屏.\n• 独占全屏."
WINDOWED,Windowed,窗口化
BORDERLESS_FULLSCREEN,Borderless Fullscreen,无边框全屏
EXCLUSIVE_FULLSCREEN,Exclusive Fullscreen,独占全屏
VSYNC,VSync,垂直同步
VSYNC_TIP,Toggle vertical sync to reduce screen tearing,切换垂直同步以减少画面撕裂
FRAME_RATE_LIMIT,Frame Rate Limit,帧率限制
FRAME_RATE_LIMIT_TIP,Limit the maximum frame rate,限制最大帧率
UNLIMITED,Unlimited,无限制
GRAPHICS,Graphics,图形
FIELD_OF_VIEW,Field of View,视野
FIELD_OF_VIEW_TIP,Adjust the camera's field of view,调整摄像机的视野
ANTI_ALIASING,Anti Aliasing,抗锯齿
SCREEN_SPACE_AA,Screen Space AA,屏幕空间抗锯齿
SCREEN_SPACE_AA_TIP,"Screen-space anti-aliasing methods\n• SMAA (Enhanced Subpixel Morphological Antialiasing)\n  Quality: High, Overhead: Medium\n• FXAA (Fast Approximate Anti-Aliasing)\n  Quality: Low, Overhead: Low","屏幕空间抗锯齿方法\n• SMAA (子像素增强抗锯齿)\n  质量: 高, 开销: 中\n• FXAA (快速近似抗锯齿)\n  质量: 低, 开销: 低"
SMAA,SMAA,SMAA
FXAA,FXAA,FXAA
TAA,TAA,TAA
TAA_TIP,"Temporal anti-aliasing.\nQuality: High, Overhead: Medium","时间抗锯齿.\n质量: 高, 开销: 中"
MSAA,MSAA,MSAA
MSAA_TIP,"Multisample anti-aliasing.\nQuality: Medium, Overhead: High","多重采样抗锯齿.\n质量: 中, 开销: 高"

DISABLED,Disabled,禁用

SETTINGS,Settings,设置
CREDITS,Credits,鸣谢
CLOSE,Close,关闭
